id_student,id_level,id_profile,id_educ_type,lastname,firstname,patronymic,average_score
1,1,1,1,Иванов,Иван,Иванович,85
2,1,2,1,Петрова,Анна,Сергеевна,92
3,2,1,2,Сидоров,Петр,Алексеевич,78
4,1,3,1,Козлова,Екатерина,Дмитриевна,88
5,3,4,3,Михайлов,Александр,Владимирович,75
6,2,5,2,Новикова,Ольга,Павловна,91
7,1,6,1,Федоров,Дмитрий,Николаевич,82
8,4,7,4,Морозова,Татьяна,Игоревна,95
9,1,8,1,Волков,Сергей,Андреевич,79
10,2,9,2,Алексеева,Мария,Викторовна,88
11,3,10,3,Николаев,Артем,Сергеевич,84
12,1,2,1,Павлова,Наталья,Ивановна,90
13,1,1,1,Иванов,Петр,Сидорович,91
14,1,1,1,Иванов,Сергей,Иванович,88
15,2,1,1,Соколова,Анна,Ивановна,94
16,1,1,1,Кузнецов,Алексей,Алексеевич,97
17,1,1,1,Попова,Елена,Владимировна,86
18,1,1,1,Васильева,Мария,Петровна,89
19,1,2,1,Петрова,Анна,Сергеевна,87
20,1,2,1,Петрова,Анна,Сергеевна,93
21,1,3,1,Петров,Иван,Иванович,80
22,4,1,4,Андреев,Андрей,Андреевич,90
23,2,2,3,Смирнова,Екатерина,Алексеевна,84
